Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01        2     5.00     5.00  je_malloc_tsd_boot1
  0.00      0.01     0.00     1006     0.00     0.00  je_extent_heap_remove_first
  0.00      0.01     0.00      871     0.00     0.00  __libc_mutex_unlock_stub
  0.00      0.01     0.00      868     0.00     0.00  je_extent_heap_new
  0.00      0.01     0.00      629     0.00     0.00  je_nstime_init
  0.00      0.01     0.00      618     0.00     0.00  __libc_mutexattr_destroy
  0.00      0.01     0.00      347     0.00     0.00  __libc_mutex_init
  0.00      0.01     0.00      309     0.00     0.00  __libc_mutexattr_settype_stub
  0.00      0.01     0.00      309     0.00     0.00  je_malloc_mutex_init
  0.00      0.01     0.00      309     0.00     0.00  mutex_prof_data_init
  0.00      0.01     0.00       51     0.00     0.00  strncmp
  0.00      0.01     0.00       39     0.00     0.00  extent_recycle
  0.00      0.01     0.00       39     0.00     0.00  extent_size_quantize_ceil
  0.00      0.01     0.00       39     0.00     0.00  extent_size_quantize_floor
  0.00      0.01     0.00       36     0.00     0.00  je_bin_init
  0.00      0.01     0.00       36     0.00     0.00  je_div_init
  0.00      0.01     0.00       26     0.00     0.00  je_extents_alloc
  0.00      0.01     0.00       20     0.00     0.00  __libc_cond_init_stub
  0.00      0.01     0.00       18     0.00     0.00  base_extent_bump_alloc_post
  0.00      0.01     0.00       18     0.00     0.00  je_extent_heap_insert
  0.00      0.01     0.00       17     0.00     0.00  __mmap
  0.00      0.01     0.00       17     0.00     0.00  base_alloc_impl
  0.00      0.01     0.00       17     0.00     0.00  mmap
  0.00      0.01     0.00       17     0.00     0.00  os_pages_map
  0.00      0.01     0.00       16     0.00     0.00  memset
  0.00      0.01     0.00       15     0.00     0.00  je_bitmap_init
  0.00      0.01     0.00       15     0.00     0.00  je_extent_alloc_mmap
  0.00      0.01     0.00       15     0.00     0.00  je_pages_map
  0.00      0.01     0.00       13     0.00     0.00  extent_alloc_core
  0.00      0.01     0.00       13     0.00     0.00  extent_hook_post_reentrancy
  0.00      0.01     0.00       13     0.00     0.00  extent_register_impl.constprop.65
  0.00      0.01     0.00       13     0.00     0.00  extent_rtree_leaf_elms_lookup
  0.00      0.01     0.00       13     0.00     0.00  extent_rtree_write_acquired.constprop.66
  0.00      0.01     0.00       13     0.00     0.00  je_arena_extent_sn_next
  0.00      0.01     0.00       13     0.00     0.00  je_base_alloc_extent
  0.00      0.01     0.00       13     0.00     0.00  je_base_extent_hooks_get
  0.00      0.01     0.00       13     0.00     0.00  je_extent_alloc
